target,output
734,19.82
799,38
1896,75
1100,48
1350,79
1355,61
1128,65
1350,90
3875,864
1493,82
1098,43.91
1900,170
1460,88
2350,285
1600,140
1091,32
1180,42
1366,76.85
1685,95
1260,100
3010,200
1330,140
1200,130
1346,96.17
630,13.86
1446,98.94
1850,140
2350,423
755,34
800,98
1194,46
3850,316
4235,365
800,52
2250,195
1352,68
2002,112
4000,280
1060,45
1419.59,59
1196,51.15
1220,35.24
1595,75
1260,75
1100,47
1550,140
1180,52
4000,150
1662,85
1285,60
1080,75
1862,119
1419,48
1410,43.71
1560,62.4
1100,150
1634,78
5530,627
1150,44
1100,53
1616,65
1392,99
1798,120
1675,75
792,70
2000,103
600,89
1700,124
1248,69
1147,54
1300,79
1200,220
1453,43.59
1550,160
1666,95
1410,160
4025,800
1845,91
1676,52
1137,63
1150,65
1938,113
2462,124
1636,85
1430,75
2000,85
993,50
1260,150
1700,88
1270,78
1500,121
2300,290
7500,900
1650,86.45
1109,63
1280,49.75
2885,185
1200,145
1600,180
1462,71
607,35
930,25
4500,300
1200,160
2600,237
3000,140
1418,52.47
4200,160
1125,65
1825,126
1320,79.5
3000,140
1490,300
1650,300
750,52.7
1400,80.54
4104,360
5000,375
3295,260
1150,110
1200,61.96
965,48
812,26
1100,43
1180,41
1145,48
1027,44
1215,49.85
1200,75
1015,58
2400,165
3000,306
3300,160
1076,52
1300,109
1300,102
1512,123
1053.4,88.91
2400,200
2416,600
919,28
1725,110
1346,71.32
1070,45
1225,35.52
880,75
640,20.5
1310,52.4
1190,39
1645,87.5
1350,89
1404,68.8
1105,35
900,41
1650,320
1100,41.15
2100,95
1948,130
1464,56
1210,45
4000,220
1252,55
1200,240
3905,290
2600,140
1300,89.13
1130,73
1200,135
1690,125
4500,360
950,60
1020,57
2107,95
1735,72
915,37
1450,68
2215,156
2431,100
1804,102
1600,88
1280,75
1255,77.68
1320,150
1257,69
1240,53.27
1200,240
1850,150
1255,66
870,36
1789,98
800,110
660,18
600,54
1155,56
1235,65
2675,140
1025,50
1395,72
1530,74.4
1252,71
1081,30.27
1255,130
2062,150
1220,56
1408,55
1180,60
715,29
1230,94.5
1035,45.5
3360,225
1300,77.99
1100,52.97
1216,84
1450,62.63
705,57
1385,64
1200,36.1
1310,32.75
1043,39.5
1320,110
1900,205
1140,39.9
1100,45
1586,90
975,24.86
1365,60
1263,107
1565,59.76
1163,180
2882,204
2320,170
1750,99
1143,55
1936,118
660,15
700,19
1402,85
4640,600
1000,41
1000,35
818,26
1680,135
2422,150
1145,100
1190,30.35
1145,62
1575,68
9000,390
1200,46
1500,63
2560,75
1583,76.1
700,34.98
950,38
1041,36.44
1085,70
1070,37
1165,45
1000,35
1169,64
1150,110
1840,140
1550,75
997,53
1457,60
1000,60
1000,60
1500,88
958,210
1165,75
1200,169
1787,123
1288,70
1430,54.11
3035,271
750,25.5
900,115
1200,67.77
1500,78
1230,66.25
780,55
1220,80
1110,43
2100,240
1380,150
1690,85
1130,78
1213,59.32
900,45
1199,85
5000,290
1255,77.68
840,120
1198,82
1223,42.81
1762,112
560,16.6
2000,85
1410,38
1853,64.86
1455,69
1138,110
2556,169
1200,66.5
1200,250
1047,83
6000,260
1200,76
1710,200
1766,130
500,15
1100,15
1221,52
680,46
1278,90
1025,66
1175,39
1554.3,131
1243,46
4920,1150
905,40
627,30
2180,285
2400,260
1435,73
3405.1,400
1620,130
1862,125
674,19.9
1220,59
1027,44
1025,49
1430,54.5
1235,65
1291,32
1498,95
2180,240
1000,29.7
922,70
850,72
750,155
1123,64
1235,75
1250,55.55
2403,360
984,45.91
1305,99
1200,65
600,90
2790,204
2010,125
995,42
1277,59
1236,61.33
1265,67
525,27
2570,141
2400,390
1442,56.24
1224,70
1205,59
1233,100
1312,69
1449,90
1090,54
2100,150
1390,62.55
1200,78
600,50
1000,58
2400,190
1732,85.73
1290,80
1840,85
1917,100
1100,57
1455,60
2774,208
1200,255
1425,65
1655,113
2805,160
600,93
1040,46.79
1126,55
1600,200
1250,55.55
1800,180
1200,53
2050,100
530,29.44
3532,170
1665,86.91
800,40
1050,162
1030,46.5
1257,71.03
1600,82
1465,75
1650,111
1243,46
680,80
1230,80
1300,82
1000,44.5
1146,53.8
1200,120
2601,312
2159,110
1255,40
1130,60
1200,60
1200,45
1116,37.6
600,85
2663,338
1090,45
1100,45
1365,34.13
1484,79.19
1630,68
1451,52.43
1330,107
2127,135
875,120
1260,65
1173,45.75
1445,56
2250,400
1000,28.88
905,50
2480,245
1495,200
1605,105
1290,73
1100,60
2100,92
995,49.8
500,55
3526,598
1425,47
1455,55
550,23
1385,48.48
7000,210
4000,130
1060,53
1080,75
1783,125
1520,90
1060,55
1267,54.35
1155,55
2500,180
1240,65
1570,78
1019,45.9
1355,76
1537,110
4075,226
1550,52.45
1100,50
1750,150
1466,71
1550,72.5
2300,102
540,22.5
950,130
2800,250
1020,48
2880,501
1987,165
1305,75
2100,125
1125,32.5
1225,49.5
1255,55.5
1191,90
3600,303
1165,33.64
865,35.11
1850,88
497,17
1232,89
1732,85.73
1614,100
600,22
2072,155
919,34
2100,90
672,54
800,110
1200,150
2849,250
1000,42
1216,75
2245,154
1476,125
1852,130
1225,47
1597,67.12
2423,160
1152,90
1762,133
1400,92
1530,74.4
2400,400
1185,40.17
1890,108
1247,58
700,104
1000,275
1201,59.99
830,40
1165,30.29
1100,55
1890,93
1685,60
3131,349
1165,43
827,45
396,48
1200,179
635,26
4000,380
1050,50
600,76
1819.18,168
1500,125
1500,57
2850,470
1751,72
4750,1102
1020,40.89
1148,43.5
1856,135
1754,650
4273,1100
1060,49.27
1300,60
3000,100
1325,65
1261,61
1100,46
700,33
1675,135
3400,190
3260,388
1180,56
1160,45
1863,105
1914,149
1458,79
1200,115
1105,40
3035,220
1200,160
1662,90
1556,86
918,50
1455,98
1205,70
1194,65
1200,75
1100,52
1050,90
1238,67.32
814,42
1145,46.5
965,34
750,36
1300,55
1590,131
644,40
982,37
1260,100
1555,75.17
2500,450
1225,48
1085,46
1640,220
1595,110
1196,40.44
1859,108
1079,60
550,27
1118,42
1198,60
957,52.5
2400,310
1268,69
1450,87
1600,75
1330,57
1355,65
1272,51.5
1100,38.49
1220,58
1075,46.76
800,55
995,34.82
900,44
1140,42
1480,125
1710,90.63
2106,148
2400,270
3800,130
800,120
1602,104
1660,116
1549,80
700,38
1012,64
1469,89
1216,69
1065,56.13
1411,93.15
1400,57.5
1250,29
1245,62
1115,50
1000,35
1800,185
2932,195
3425,250
945,45
1504,100
1569,150
1755,130
1760,140
1240,43.94
1450,72.54
1000,48
3820,306
2000,145
2060,150
1716,115
1864,140
638,32
1200,95
1150,170
937,30
1490,115
4856,410
4003,525
1100,37
1000,48.53
1060,37
1047,91
1200,80
1420,75
1539,85
1550,59
1555,82
600,138
1553,68
920,26
1740,120
1855,145
1724,146
1020,60
1000,150
1250,50
1450,75
1200,80
1140,58
900,110
550,16
1450,44
1500,25.49
700,35.07
1200,56
1050,45
1600,69
1625,75
1492,65
1490,79
1520,111
4100,550
1391,64.5
1200,50
1200,86
2500,500
1322,80
2173,128
1200,75
1200,47
1170,65
1900,190
1435,45
1175,64.98
1464,56
900,33
585,21
3170,230
1602,170
1220,42
2500,350
2145,180
960,58
907,38
1210,74
900,150
1230,70
1350,75
1150,58
1404,53.35
1050,48
1020,155
1285,56
1018,50.8
1200,57
1115,50
1600,95
1480,80
2500,125
480,25
1435,53
450,605
936,40.2
1181,75
1741,80
1750,123
1050,42.7
1027,60
596,22
3463,310
1600,70
2790,198
1000,60
1120,44.24
1200,85
1200,35
1570,110
1500,135
1315,140
1140,33.84
1105,90
1200,34.65
905,62
2400,350
1185,50
1083,100
1458,60
1555,75
1200,45
1308,58.86
1024,44
1194,47
1450,75
1639,120
1870,138
1232,87
1719,184
975,24.86
2000,130
1230,79
1350,140
1076,67
2400,125
995,34.82
2120,177
2400,460
850,78
1096,40.55
1107.83,41.51
505,85
1320,99.26
2901,190
1315,65
1000,44
1596,79.8
1750,130
921,29.47
4000,1100
1713,125
1200,43
1900,90
1664,68
1795,139
600,19.5
1240,65
1965,132
600,99
4111,370
1200,59.76
1112,68
3000,60
1136,64.5
914,55
1270,50.79
1050,47.25
1385,68.5
990,35
845,43
1485,96.51
1460,43.79
1450,57
1360,53
1375,58
1125,48
720,60
1460,100
1107,40
1158,75
800,30
600,90
1760,128
3200,200
600,145
1350,60
600,100
1125,32.49
1706,154
1600,112
1200,90
1755,101
1200,50
1200,67
1266.67,69
1800,90
1200,275
1300,64
800,60
1210,80
2710,142
1151,39
7500,1700
1464,56
1017,27
920,40
1200,180
1000,140
1750,86.5
1163,65
1650,110
1800,95
1100,58
1200,60
1410,65
1933,98
1200,45.6
1608,63
2679,280
1156,46.9
1230,75
770,43.82
1777.26,105
1339,85
3044,183
1080,44.8
3150,145
2400,135
1450,72
1075,53
1163,62
1200,65
1200,135
3090,325
1299,100
1130,32.63
2600,175
1140,43.32
1787,107
3600,330
1200,100
1020,29.45
1797,95
1205,58
1095,55.85
1560,98
1200,68
1200,200
3000,160
980,86
1200,210
1250,60
1424,80
1297,49.9
1300,170
1290,89.9
1720,130
1200,199
2320,160
1237,78
1720,98.97
1224,45
1780,107
4700,800
1800,93
1139,56.5
588,88.2
700,35
1150,52
1330,51.83
2732,194
965,38
1600,95
1464,56
3100,400
1075,45
1840,95
1223,39.14
1170,44
3630,207
950,35
5400,400
865,40
2400,89
1169,75
1206,40
10961,80
1683,110
1250,44
3150,218
1200,140
1234.6,104
492,40
600,27
1902,89
1200,125
1314,60
1900,120
1040,36.84
1290,85
1200,130
1325,47
2600,195
1129,44
645,42.295
1075,52
1108,48
810,25.5
1155,65
3900,260
2367,375
1550,98
1100,38
1452,54.2
1141,54
1464,56
1500,67.49
456,15
1200,125
3122,245
760,37.49
2400,480
800,32
1180,71.22
775,29.5
1145,49.5
1060,42.5
3900,415
1420,75
2439,190
1200,300
1111,49.43
984,125
1200,42
1247,47.39
1050,77.47
1550,85
1270,80
1012,65
970,34
933,55
1200,76.13
1148,69
1463,61.45
1719,110
1350,88
1250,47
1700,50
4320,821
1200,75
1030,44
1420,70
9600,1800
1703,126
1210,80
1210,50
3000,264
3150,135
2047,67.55
2597,189
1211,63
1904,129
1205,73.87
1164,64.08
1410,73
1333,86.65
1258,85.5
1458,87
1386,85
1140,32.92
550,27
1200,83
1081,39
2135,149
2500,100
1178,80
991,40
1493,90
2495,130
1080,31.99
814,53
1025,50
1650,126
1645,87
1748,103
1200,67.77
1170,50
3420,225
1320,65
1610,84.53
1870,180
1510,110
2700,110
1305,45.68
1500,70
1149,130
1948,129
1448,70
1242,78
1268,58
1101,50
1255,65
1362,62.63
984,140
1089,32.67
800,95
1345,57
3600,125
1650,140
950,45
1068,43
860,31
3000,130
1756,66.73
1205,41
1120,155
1800,125
8321,2912
1604,68
2732,204
1015,25.88
1200,42
1010,38
1250,170
1010,41
1050,33.1
1710,85
1248.52,115
410,10
1656,62.93
1451,68
1200,175
1250,93
4395,240
4600,650
1340,42
1100,38.5
6000,700
1700,71
1200,150
1096,43
1160,33.5
1936,139
1269,63
3500,630
1586,125
1376,124
1452,56.5
1538,107
1427,130
935,40
1220,65
1197,77
674,19.9
410,15
1573,90
1135,58
1400,40.43
1200,65
1800,95
2045,108
1268,56
883,39
1600,100
1056,70
1200,105
4500,330
1204,58
1410,54
782,85
1011,59
1450,102
1129,69
1126,36
1200,110
1180,45
600,125
940,45
1933,140
1082,64
2400,250
610,28
1560,160
1300,77.99
3850,205
1125,46
2400,107
777.4,25
2500,65
1798,150
1864,120
1115,51.91
400,25
1200,70
992,24.8
950,57
1500,185
1200,62
1735,70
1750,172
1009,56
1470,102
1527,115
985,45
3300,135
1277,77
1100,62
1820,140
1530,87
1886,205
1200,190
1880,110
1255,52.35
700,36
1140,46
1025,29.6
3453,247
1490,59.6
1200,165
1850,140
1250,78
2400,108
3522,716
1244,88
623,75
1025,28.57
1034,38
1191,33.34
1719,71
1035,39.33
1500,230
1470,84.22
1140,50.66
1752.12,125
600,80
600,84
2990,170
1660,85
1275,63.43
1365,52.81
1200,90
2546,170
1407,98.49
1000,50
1518,75
3600,300
1027,67
3730,430
1100,55
1140,32.92
3009,330
3300,310
800,30
2000,65
1200,190
1300,95
1220,60
2289,178
1170,56
1350,89.5
883,45
5000,300
2150,240
1635,57
3425,320
550,17
